NAME,RTG,TEAM,DEP,WEEK,ATT,YDS,TD,TGTS,REC,REC YDS,REC TD
D'Andre Swift,76,DET,3,6,14,116,2,4,3,7,0
Ronald Jones II,83,TB,1,6,23,113,2,2,2,8,0
Clyde Edwards-Helaire,83,KC,1,6,26,161,0,4,4,8,0
James Conner,80,PIT,1,6,20,101,1,1,1,1,0
Myles Gaskin,76,MIA,1,6,18,91,0,4,4,35,0
Jonathan Taylor,81,IND,1,6,12,60,0,4,4,55,0
James White,81,NE,1,6,4,8,0,9,8,65,0
James Robinson,81,JAX,1,6,12,29,0,4,4,24,1
Joe Mixon,87,CIN,1,6,18,54,1,3,2,15,0
JD McKissic,77,WAS,2,6,8,41,0,6,6,43,0
David Johnson,75,HOU,1,6,19,57,1,2,1,12,0
David Montgomery,79,CHI,1,6,19,58,0,5,4,39,0
Aaron Jones,88,GB,1,6,10,15,1,5,3,26,0
Adrian Peterson,76,DET,1,6,15,40,1,1,1,18,0
Miles Sanders,84,PHI,1,6,9,118,0,2,1,-6,0
Ezekiel Elliott,88,DAL,1,6,12,49,0,11,8,31,0
Giovani Bernard,81,CIN,1,6,8,15,1,3,3,13,0
Mike Davis,78,CAR,1,6,18,52,1,3,2,3,0
Darrel Williams,67,KC,3,6,6,26,1,1,1,15,0
Frank Gore,79,NYJ,1,6,11,46,0,4,4,24,0
Phillip Lindsay,82,DEN,1,6,23,101,0,0,0,0,0
Todd Gurley,78,ATL,1,6,20,47,0,4,3,20,0
Raheem Mostert,84,SF,1,6,17,65,0,2,2,11,0
Antonio Gibson,76,WAS,3,6,9,30,0,5,4,25,0
Darrell Henderson,73,LAR,1,6,14,88,0,0,0,4,0
Benny Snell Jr.,75,PIT,2,6,6,17,1,1,1,4,0
Gus Edwards,81,BAL,2,6,14,26,1,0,0,0,0
Jeremy McNichols,69,TEN,2,6,5,51,0,3,2,11,0
Nyheim Hines,82,IND,2,6,0,0,0,6,5,27,0
Kareem Hunt,84,CLE,2,6,13,40,0,3,2,17,0
Devonta Freeman,76,NYG,1,6,18,61,0,2,1,-4,0
Tony Pollard,79,DAL,2,6,10,31,0,4,2,9,0
Lamical Perine,67,NYJ,3,6,7,27,0,3,2,9,0
Devin Singletary,79,BUF,1,6,10,32,0,2,1,13,0
Malcolm Brown,70,LAR,2,6,2,4,0,4,3,18,0
J.K. Dobbins,77,BAL,1,6,9,28,0,4,2,1,0
Jerick McKinnon,75,SF,3,6,6,18,0,3,2,10,0
Trenton Cannon,69,CAR,3,6,3,12,0,2,2,15,0
Chris Thompson,75,JAX,2,6,0,0,0,4,3,15,0
Damien Harris,70,NE,1,6,6,19,0,1,1,14,0
Ty Johnson,67,NYJ,1,6,3,42,0,1,0,0,0
Matt Breida,77,MIA,2,6,6,15,0,2,2,7,0
Ke’Shawn Vaughn,70,TB,2,6,5,42,0,1,0,0,0
Alexander Mattison,73,MIN,2,6,10,26,0,2,1,4,0
Royce Freeman,75,DEN,2,6,8,26,0,1,1,4,0
Chase Edmonds,79,ARI,2,6,5,23,0,2,1,6,0
JaMycal Hasty,67,SF,6,6,9,37,0,1,0,0,0
Ito Smith,80,ATL,3,6,2,8,0,1,1,17,0
Jamaal Williams,78,GB,2,6,4,34,0,1,0,0,0
Brian Hill,67,ATL,2,6,10,28,0,2,2,6,0
A.J. Dillon,70,GB,3,6,5,31,0,0,0,0,0
Kerryon Johnson,76,DET,2,6,4,9,0,2,1,11,0
Boston Scott,70,PHI,2,6,2,4,0,4,2,5,0
Dontrell Hilliard,68,CLE,5,6,4,29,0,0,0,0,0
Duke Johnson,74,HOU,2,6,4,9,0,2,1,2,0
Peyton Barber,73,WAS,1,6,4,6,0,1,1,4,0
Dion Lewis,76,NYG,2,6,0,0,0,1,1,10,0
Mark Ingram,79,BAL,1,6,5,20,0,0,0,0,0
Ameer Abdullah,67,MIN,3,6,2,7,0,2,1,1,0
Anthony McFarland Jr.,67,PIT,3,6,3,2,0,1,1,6,0
LeSean McCoy,83,TB,2,6,4,1,0,1,1,6,0
Darwin Thompson,67,KC,4,6,3,17,0,0,0,0,0
Mike Boone,67,MIN,4,6,1,-1,0,1,1,6,0
Rex Burkhead,78,NE,4,6,5,14,0,0,0,0,0
Rico Dowdle,67,DAL,3,6,3,13,0,0,0,0,0
Patrick Laird,67,MIA,5,6,0,0,0,1,1,2,0
Zack Moss,68,BUF,2,6,5,10,0,0,0,0,0
D'Ernest Johnson,67,CLE,3,6,4,1,0,1,0,0,0
Jeffery Wilson,68,SF,4,7,17,112,3,2,2,8,0
James Robinson,67,JAX,4,7,22,119,1,6,4,18,1
Todd Gurley,84,ATL,1,7,23,63,2,3,2,19,0
Antonio Gibson,71,WAS,1,7,20,128,1,1,0,0,0
Jamaal Williams,79,GB,3,7,19,77,1,5,4,37,0
Kareem Hunt,87,CLE,2,7,18,76,0,4,3,26,1
Giovani Bernard,79,CIN,2,7,13,37,0,5,5,59,1
Boston Scott,70,PHI,2,7,12,46,0,5,3,46,1
Alvin Kamara,90,NO,1,7,14,83,0,8,8,65,0
Chase Edmonds,71,ARI,2,7,5,58,0,7,7,87,0
Carlos Hyde,83,SEA,2,7,15,68,1,4,3,8,0
Derrick Henry,95,TEN,1,7,20,75,1,2,2,-3,0
David Johnson,78,HOU,1,7,14,42,0,4,4,42,1
Clyde Edwards-Helaire,71,KC,1,7,8,46,1,4,1,17,0
Malcolm Brown,74,LAR,3,7,10,57,1,1,0,0,0
Lamical Perine,67,NYJ,3,7,11,39,1,3,2,16,0
Wayne Gallman,71,NYG,3,7,10,34,1,5,5,20,0
James Conner,83,PIT,1,7,20,82,0,5,3,29,0
D'Andre Swift,73,DET,1,7,9,27,1,5,4,21,0
Melvin Gordon,84,DEN,1,7,17,68,1,4,2,12,0
Leonard Fournette,85,TB,1,7,11,50,0,7,6,47,0
Ronald Jones II,81,TB,2,7,13,34,1,2,1,2,0
Phillip Lindsay,82,DEN,2,7,9,79,0,0,0,0,0
Darrell Henderson,72,LAR,2,7,15,64,0,2,2,13,0
JaMycal Hasty,67,SF,6,7,9,57,0,1,1,16,0
Zack Moss,68,BUF,2,7,7,47,0,3,3,25,0
Damien Harris,71,NE,3,7,10,58,0,1,1,12,0
David Montgomery,80,CHI,1,7,14,48,0,5,5,21,0
Benny Snell Jr.,70,PIT,2,7,2,2,1,0,0,0,0
Frank Gore,82,NYJ,2,7,11,60,0,0,0,0,0
Latavius Murray,77,NO,2,7,11,47,0,1,1,9,0
Justin Jackson,74,LAC,2,7,5,12,0,6,5,43,0
Joshua Kelley,67,LAC,3,7,12,29,0,5,5,24,0
Ezekiel Elliott,90,DAL,1,7,12,45,0,2,1,6,0
JD McKissic,76,WAS,4,7,5,35,0,2,2,16,0
Devin Singletary,81,BUF,1,7,8,29,0,5,2,18,0
Rex Burkhead,78,NE,4,7,4,12,0,4,3,35,0
Duke Johnson,80,HOU,2,7,1,-1,0,5,5,43,0
Kenyan Drake,83,ARI,1,7,14,34,0,2,1,7,0
Chris Carson,83,SEA,1,7,5,34,0,2,1,7,0
Le'Veon Bell,87,KC,1,7,6,39,0,0,0,0,0
Mike Davis,72,CAR,2,7,7,12,0,5,5,24,0
Peyton Barber,74,WAS,3,7,10,34,0,0,0,0,0
Josh Jacobs,88,LV,1,7,10,17,0,4,3,14,0
Adrian Peterson,79,DET,3,7,11,29,0,1,1,1,0
Brian Hill,67,ATL,3,7,2,3,0,3,3,27,0
Jalen Richard,75,LV,2,7,7,24,0,0,0,0,0
Tony Pollard,76,DAL,2,7,8,16,0,1,1,6,0
Corey Clement,72,PHI,3,7,2,9,0,1,1,12,0
DeeJay Dallas,67,SEA,4,7,0,0,0,3,2,18,0
Royce Freeman,77,DEN,3,7,3,12,0,2,1,5,0
Devontae Booker,70,LV,3,7,3,5,0,2,2,9,0
Jason Huntley,67,PHI,4,7,2,13,0,1,0,0,0
A.J. Dillon,70,GB,2,7,5,11,0,0,0,0,0
Travis Homer,67,SEA,5,7,3,10,0,0,0,0,0
Devonta Freeman,83,NYG,1,7,3,8,0,1,0,0,0
Deandre Washington,76,KC,4,7,3,5,0,1,1,2,0
Trenton Cannon,68,CAR,3,7,1,7,0,0,0,0,0
Anthony McFarland Jr.,67,PIT,3,7,1,6,0,1,0,0,0
Samaje Perine,69,CIN,4,7,1,3,0,1,1,3,0
Troymaine Pope,67,LAC,3,7,1,6,0,0,0,0,0
Jaylen Samuels,71,PIT,4,7,1,5,0,0,0,0,0
James White,84,NE,1,7,0,0,0,1,1,3,0
Dion Lewis,76,NYG,2,7,3,23,0,0,0,0,0
D'Ernest Johnson,67,CLE,3,7,1,3,0,0,0,0,0
Jeremy McNichols,69,TEN,4,7,1,2,0,0,0,0,0
Dalvin Cook,97,MIN,1,8,30,163,3,3,2,63,1
Alvin Kamara,92,NO,1,8,12,67,0,13,9,96,0
Giovani Bernard,81,CIN,1,8,15,62,1,4,3,16,1
DeeJay Dallas,67,SEA,4,8,18,41,1,5,5,17,1
Nyheim Hines,82,IND,2,8,5,8,0,5,3,54,2
Jordan Wilkins,73,IND,3,8,20,89,1,1,1,24,0
Zack Moss,68,BUF,2,8,14,81,2,1,0,0,0
Jamaal Williams,78,GB,2,8,16,75,0,6,6,27,0
Derrick Henry,93,TEN,1,8,18,112,1,1,0,0,0
Justin Jackson,73,LAC,2,8,17,89,0,5,3,53,0
Damien Harris,70,NE,1,8,16,102,1,0,0,0,0
Phillip Lindsay,82,DEN,1,8,6,83,1,3,1,3,0
James Conner,80,PIT,1,8,15,47,1,3,3,13,0
Gus Edwards,81,BAL,2,8,16,87,1,1,0,0,0
Troymaine Pope,67,LAC,4,8,10,67,0,7,5,28,0
Jerick McKinnon,75,SF,3,8,3,-1,1,4,4,40,0
Myles Gaskin,76,MIA,1,8,18,47,1,6,3,16,0
Wayne Gallman,72,NYG,1,8,12,44,1,1,1,18,0
J.K. Dobbins,77,BAL,1,8,15,113,0,2,1,8,0
Josh Jacobs,91,LV,1,8,31,128,0,1,0,0,0
David Montgomery,79,CHI,1,8,21,89,0,5,2,16,0
Melvin Gordon,83,DEN,1,8,8,26,0,7,6,21,0
Todd Gurley,78,ATL,1,8,18,46,1,0,0,0,0
Samaje Perine,69,CIN,2,8,10,32,1,1,1,2,0
Devin Singletary,79,BUF,1,8,14,86,0,1,1,6,0
JaMycal Hasty,67,SF,6,8,12,29,1,1,1,2,0
Leonard Fournette,81,TB,1,8,15,52,0,6,3,19,0
Boston Scott,70,PHI,2,8,15,70,0,2,2,9,0
Kerryon Johnson,76,DET,2,8,0,0,0,2,2,15,1
Kareem Hunt,84,CLE,2,8,14,66,0,3,2,7,0
Dion Lewis,76,NYG,2,8,0,0,0,3,2,8,1
Mike Davis,78,CAR,1,8,13,66,0,2,1,11,0
Tony Pollard,79,DAL,2,8,7,40,0,2,2,24,0
Brian Hill,67,ATL,2,8,11,55,0,3,2,9,0
Ezekiel Elliott,88,DAL,1,8,19,63,0,2,1,10,0
Malcolm Brown,70,LAR,2,8,10,40,0,2,2,17,0
Le'Veon Bell,79,KC,2,8,6,7,0,3,3,31,0
Darrell Henderson,73,LAR,1,8,8,47,0,2,1,11,0
Cam Akers,77,LAR,1,8,9,35,0,1,1,19,0
Latavius Murray,82,NO,2,8,8,17,0,3,3,14,0
Clyde Edwards-Helaire,83,KC,1,8,6,21,0,3,3,10,0
Devontae Booker,71,LV,2,8,5,29,0,1,1,17,0
James White,81,NE,1,8,2,0,0,4,2,35,0
D'Andre Swift,76,DET,3,8,6,1,0,4,3,22,0
Jonathan Taylor,81,IND,1,8,11,22,0,3,2,9,0
Jeremy McNichols,69,TEN,2,8,4,49,0,1,0,0,0
A.J. Dillon,70,GB,3,8,5,21,0,1,1,16,0
Rex Burkhead,78,NE,4,8,6,26,0,1,1,5,0
Corey Clement,76,PHI,3,8,5,24,0,2,1,4,0
D'Onta Foreman,77,TEN,4,8,5,37,0,0,0,0,0
Darrel Williams,67,KC,3,8,3,19,0,1,1,7,0
Joshua Kelley,67,LAC,3,8,7,32,0,1,1,-7,0
Ty Johnson,67,NYJ,1,8,3,15,0,1,1,6,0
Frank Gore,79,NYJ,1,8,10,30,0,0,0,0,0
Alfred Morris,74,NYG,3,8,8,28,0,0,0,0,0
Jalen Richard,77,LV,3,8,1,6,0,1,1,12,0
Adrian Peterson,76,DET,1,8,5,7,0,1,1,5,0
Elijhaa Penny,70,NYG,1,8,0,0,0,1,1,11,0
D'Ernest Johnson,67,CLE,3,8,2,6,0,1,1,5,0
Tevin Coleman,85,SF,2,8,3,20,0,0,0,0,0
Tyler Ervin,70,GB,3,8,0,0,0,3,1,7,0
Khari Blasingame,67,TEN,3,8,0,0,0,1,1,5,0
Matt Breida,77,MIA,2,8,4,13,0,0,0,0,0
Ryan Nall,67,CHI,2,8,0,0,0,1,1,2,0
Alexander Mattison,73,MIN,2,8,3,8,0,0,0,0,0
Travis Homer,67,SEA,3,8,1,4,0,0,0,0,0
Darwin Thompson,67,KC,4,8,4,3,0,1,0,0,0
Qadree Ollison,67,ATL,4,8,1,3,0,0,0,0,0
Anthony McFarland Jr.,67,PIT,3,8,1,1,0,0,0,0,0
Dalvin Cook,97,MIN,1,9,22,206,2,2,2,46,0
Christian McCaffrey,99,CAR,2,9,18,69,1,10,10,82,1
JD McKissic,77,WAS,2,9,3,17,0,14,9,65,0
Kalen Ballage,67,NYJ,4,9,15,69,1,3,2,15,0
Alvin Kamara,92,NO,1,9,9,40,1,6,5,9,0
James Robinson,81,JAX,1,9,25,99,1,2,0,0,0
Jerick McKinnon,75,SF,3,9,12,52,1,4,3,16,0
Duke Johnson,74,HOU,2,9,16,41,1,4,4,32,0
Wayne Gallman,72,NYG,1,9,14,68,1,2,1,9,0
Josh Jacobs,91,LV,1,9,14,65,1,1,1,3,0
Ryan Nall,67,CHI,2,9,0,0,0,4,4,35,1
Todd Gurley,78,ATL,1,9,19,53,1,2,2,2,0
Aaron Jones,88,GB,1,9,15,58,0,5,5,21,0
Devontae Booker,71,LV,2,9,8,68,1,0,0,0,0
Zack Moss,68,BUF,2,9,9,18,1,2,2,30,0
D'Andre Swift,76,DET,3,9,13,64,0,5,3,33,0
Antonio Gibson,76,WAS,3,9,6,20,1,3,3,35,0
Clyde Edwards-Helaire,83,KC,1,9,5,14,0,5,3,20,1
DeeJay Dallas,67,SEA,4,9,7,31,1,2,2,8,0
Chase Edmonds,79,ARI,2,9,25,70,0,3,3,18,0
Tyler Ervin,70,GB,3,9,8,24,0,5,4,48,0
Travis Homer,67,SEA,3,9,6,16,0,3,3,64,0
Joshua Kelley,67,LAC,3,9,9,28,0,5,5,31,0
Leonard Fournette,81,TB,1,9,1,0,0,6,6,41,0
Kerryon Johnson,76,DET,2,9,4,29,0,3,3,36,0
Jonathan Taylor,81,IND,1,9,6,27,1,2,2,7,0
Gus Edwards,81,BAL,2,9,11,23,1,2,2,11,0
Ameer Abdullah,67,MIN,3,9,0,0,0,1,1,22,1
Ezekiel Elliott,88,DAL,1,9,18,51,0,3,2,18,0
Mike Davis,78,CAR,1,9,1,3,0,6,5,34,0
Alfred Morris,74,NYG,3,9,9,67,0,1,1,4,0
Jordan Howard,78,MIA,1,9,10,19,1,0,0,0,0
Chris Thompson,75,JAX,2,9,1,3,0,4,4,35,0
Adrian Peterson,76,DET,1,9,8,29,0,5,3,14,0
Alexander Mattison,73,MIN,2,9,12,69,0,0,0,0,0
Derrick Henry,93,TEN,1,9,21,68,0,0,0,0,0
Tony Pollard,79,DAL,2,9,9,57,0,2,1,1,0
Devin Singletary,79,BUF,1,9,2,1,0,3,3,33,0
Latavius Murray,82,NO,2,9,10,39,0,2,2,3,0
Jordan Wilkins,73,IND,3,9,11,39,0,2,2,-1,0
Nyheim Hines,82,IND,2,9,2,18,0,3,2,20,0
J.K. Dobbins,77,BAL,1,9,12,30,0,2,2,5,0
David Montgomery,79,CHI,1,9,14,30,0,3,3,12,0
Ronald Jones II,83,TB,1,9,3,9,0,4,3,9,0
Anthony McFarland Jr.,67,PIT,3,9,3,7,0,2,2,15,0
Dion Lewis,76,NYG,2,9,3,5,0,2,2,16,0
James Conner,80,PIT,1,9,9,22,0,2,2,-2,0
Salvon Ahmed,67,MIA,3,9,7,38,0,0,0,0,0
Melvin Gordon,83,DEN,1,9,6,18,0,1,1,9,0
JaMycal Hasty,67,SF,6,9,4,3,0,2,2,10,0
Jalen Richard,77,LV,3,9,1,3,0,1,1,19,0
Patrick Laird,67,MIA,5,9,1,-1,0,1,1,17,0
Brian Hill,67,ATL,2,9,8,24,0,1,0,0,0
Phillip Lindsay,82,DEN,1,9,8,23,0,3,0,0,0
DJ Foster,67,ARI,5,9,1,2,0,1,1,7,0
David Johnson,75,HOU,1,9,2,16,0,1,0,0,0
Darrel Williams,67,KC,3,9,0,0,0,1,1,3,0
Le'Veon Bell,79,KC,2,9,4,8,0,1,1,-5,0
D'Onta Foreman,77,TEN,4,9,5,11,0,0,0,0,0
Jeremy McNichols,69,TEN,2,9,2,10,0,0,0,0,0
Dwayne Washington,67,NO,3,9,5,9,0,0,0,0,0
Dexter Williams,67,GB,3,9,2,8,0,0,0,0,0
Elijhaa Penny,70,NYG,1,9,1,2,0,1,0,0,0
Benny Snell Jr.,75,PIT,2,9,3,1,0,0,0,0,0
Alvin Kamara,92,NO,1,10,8,15,2,8,7,83,1
Josh Jacobs,91,LV,1,10,21,112,2,4,4,24,0
Nyheim Hines,82,IND,2,10,12,70,1,6,5,45,1
Rex Burkhead,78,NE,4,10,6,31,0,5,4,35,2
Antonio Gibson,76,WAS,3,10,13,45,2,4,4,20,0
Devontae Booker,71,LV,2,10,16,81,2,1,1,2,0
Malcolm Brown,70,LAR,2,10,6,33,2,2,2,18,0
Wayne Gallman,72,NYG,1,10,18,53,2,2,1,7,0
Nick Chubb,95,CLE,1,10,19,126,1,1,0,0,0
JD McKissic,77,WAS,2,10,8,6,1,15,7,43,0
Kareem Hunt,84,CLE,2,10,19,104,0,4,3,28,0
Dalvin Cook,97,MIN,1,10,30,96,0,4,4,16,0
Aaron Jones,88,GB,1,10,13,46,0,6,5,49,0
Boston Scott,70,PHI,2,10,3,63,1,1,1,11,0
Miles Sanders,84,PHI,1,10,15,85,0,5,2,10,0
James Robinson,81,JAX,1,10,23,109,0,5,2,3,0
Damien Harris,70,NE,1,10,22,121,0,0,0,0,0
Derrick Henry,93,TEN,1,10,19,103,0,2,1,6,0
Chase Edmonds,79,ARI,2,10,8,56,0,3,3,21,0
Darrell Henderson,73,LAR,1,10,7,28,1,1,1,5,0
Kenyan Drake,81,ARI,1,10,16,100,0,1,1,9,0
D'Onta Foreman,77,TEN,4,10,7,18,0,1,1,5,1
Giovani Bernard,81,CIN,1,10,8,30,0,7,4,17,0
Jamaal Williams,78,GB,2,10,8,30,0,4,3,25,0
Mike Davis,78,CAR,1,10,7,32,0,5,4,12,0
Gus Edwards,81,BAL,2,10,7,42,0,2,1,31,0
James Conner,80,PIT,1,10,13,36,0,2,2,12,0
Corey Clement,76,PHI,3,10,1,5,1,0,0,0,0
Samaje Perine,69,CIN,2,10,7,48,0,1,1,7,0
Latavius Murray,82,NO,2,10,9,57,0,0,0,0,0
Jonathan Taylor,81,IND,1,10,7,12,0,2,2,25,0
Jerick McKinnon,75,SF,3,10,18,33,0,3,1,13,0
Duke Johnson,74,HOU,2,10,14,54,0,1,0,0,0
DeeJay Dallas,67,SEA,4,10,2,8,0,3,2,23,0
Leonard Fournette,81,TB,1,10,8,19,0,3,2,11,0
Travis Homer,67,SEA,3,10,0,0,0,3,3,19,0
Mark Ingram,79,BAL,1,10,5,5,0,2,2,24,0
Melvin Gordon,83,DEN,1,10,11,46,0,2,0,0,0
Royce Freeman,75,DEN,2,10,2,11,0,2,2,15,0
Jeremy McNichols,69,TEN,2,10,3,26,0,1,1,8,0
Adrian Peterson,76,DET,1,10,4,21,0,1,1,9,0
Cam Akers,77,LAR,1,10,10,38,0,0,0,0,0
Dion Lewis,76,NYG,2,10,0,0,0,2,2,17,0
Alfred Morris,74,NYG,3,10,8,34,0,0,0,0,0
Jordan Wilkins,73,IND,3,10,8,28,0,1,0,0,0
James White,81,NE,1,10,0,0,0,2,2,8,0
Ryan Nall,67,CHI,2,10,1,0,0,2,1,18,0
Zack Moss,68,BUF,2,10,7,20,0,2,1,-3,0
Peyton Barber,73,WAS,1,10,2,7,0,1,1,7,0
J.K. Dobbins,77,BAL,1,10,5,13,0,2,1,1,0
Khari Blasingame,67,TEN,3,10,0,0,0,1,1,13,0
Trayveon Williams,67,CIN,3,10,5,22,0,0,0,0,0
Joshua Kelley,67,LAC,3,10,7,21,0,0,0,0,0
Devin Singletary,79,BUF,1,10,4,15,0,5,1,-5,0
Patrick Laird,67,MIA,5,10,2,19,0,0,0,0,0
Dare Ogunbowale,67,JAX,2,10,0,0,0,2,1,5,0
Tyler Ervin,70,GB,3,10,1,0,0,1,1,3,0
CJ Prosise,69,HOU,3,10,0,0,0,1,1,-2,0
Alexander Mattison,73,MIN,2,10,2,4,0,0,0,0,0
Kerryon Johnson,76,DET,2,10,1,3,0,0,0,0,0
Deandre Washington,70,KC,4,10,2,2,0,0,0,0,0
Phillip Lindsay,82,DEN,1,10,4,2,0,1,0,0,0
Dalvin Cook,97,MIN,1,11,27,115,1,5,5,45,0
Clyde Edwards-Helaire,83,KC,1,11,14,69,2,2,1,8,0
Derrick Henry,93,TEN,1,11,28,133,1,2,1,-1,0
Ezekiel Elliott,88,DAL,1,11,21,103,0,2,2,11,1
J.K. Dobbins,77,BAL,1,11,15,70,1,2,2,15,0
Melvin Gordon,83,DEN,1,11,15,84,2,0,0,0,0
Carlos Hyde,79,SEA,2,11,14,79,1,3,2,16,0
Antonio Gibson,76,WAS,3,11,16,94,1,2,1,10,0
Aaron Jones,88,GB,1,11,10,41,1,4,4,30,0
Kenyan Drake,81,ARI,1,11,11,29,1,5,4,31,0
Mike Davis,78,CAR,1,11,19,64,1,2,2,15,0
Jonathan Taylor,81,IND,1,11,22,90,0,4,4,24,0
Frank Gore,79,NYJ,1,11,15,61,1,2,2,10,0
Chase Edmonds,79,ARI,2,11,2,13,0,4,4,36,1
James White,81,NE,1,11,5,19,0,9,6,64,0
Kalen Ballage,67,NYJ,4,11,16,44,0,9,7,27,0
Josh Jacobs,91,LV,1,11,17,55,1,1,1,9,0
James Conner,80,PIT,1,11,13,89,0,3,3,10,0
Salvon Ahmed,67,MIA,3,11,12,43,0,6,5,31,0
Damien Harris,70,NE,1,11,11,43,1,2,1,11,0
Tony Pollard,79,DAL,2,11,5,60,1,0,0,0,0
James Robinson,81,JAX,1,11,17,73,0,2,2,21,0
Nick Chubb,95,CLE,1,11,20,114,0,0,0,0,0
Le'Veon Bell,79,KC,2,11,7,25,1,1,1,11,0
Latavius Murray,82,NO,2,11,12,49,0,2,2,36,0
Alvin Kamara,92,NO,1,11,13,45,1,1,0,0,0
JD McKissic,77,WAS,2,11,6,43,0,4,3,26,0
Leonard Fournette,81,TB,1,11,7,17,1,4,1,9,0
Giovani Bernard,81,CIN,1,11,9,18,0,5,4,37,0
Kareem Hunt,84,CLE,2,11,13,11,1,1,1,10,0
Miles Sanders,84,PHI,1,11,16,66,0,5,3,15,0
Cam Akers,77,LAR,1,11,5,15,0,1,1,4,1
Jamaal Williams,78,GB,2,11,5,12,0,2,1,4,1
Nyheim Hines,82,IND,2,11,6,2,0,4,3,31,0
Phillip Lindsay,82,DEN,1,11,16,82,0,0,0,0,0
Boston Scott,70,PHI,2,11,5,24,0,3,3,26,0
Benny Snell Jr.,75,PIT,2,11,7,15,1,0,0,0,0
Duke Johnson,74,HOU,2,11,10,15,0,5,3,20,0
Kerryon Johnson,76,DET,2,11,6,17,0,5,2,21,0
Ty Johnson,67,NYJ,1,11,0,0,0,6,4,17,0
Darrel Williams,67,KC,3,11,0,0,0,3,3,22,0
DeeJay Dallas,67,SEA,4,11,1,13,0,2,2,19,0
Jordan Wilkins,73,IND,3,11,4,21,0,1,1,15,0
Todd Gurley,78,ATL,1,11,8,26,0,2,1,3,0
Malcolm Brown,70,LAR,2,11,3,20,0,1,1,8,0
Troymaine Pope,67,LAC,4,11,3,4,0,2,2,12,0
Devine Ozigbo,67,JAX,3,11,0,0,0,3,3,5,0
CJ Prosise,69,HOU,3,11,3,4,0,2,2,8,0
Rex Burkhead,78,NE,4,11,4,7,0,3,2,5,0
Samaje Perine,69,CIN,2,11,5,19,0,2,1,2,0
Bo Scarbrough,69,SEA,4,11,6,31,0,0,0,0,0
Rodney Smith,67,CAR,5,11,8,29,0,0,0,0,0
