NAME,TEAM,BYE,GP,FPTS,ATT,TD,ATT %,TGTS,REC,TGT %,CATCH%
Alvin Kamara,NO,6,11,117.8,4.6,2.2,4.6,15,11.9,4.6,79.3
James Robinson,JAX,7,12,108.3,1.5,1.4,3.8,7.2,7.2,2.2,100
Dalvin Cook,MIN,7,10,87.2,3.6,0,3.9,0,0,0,0
Kareem Hunt,CLE,9,10,76,8.4,6.3,9.3,7.9,6.7,3.1,84.8
Nick Chubb,CLE,9,7,75,0.7,0,0.8,0,0,0,0
Derrick Henry,TEN,7,12,69,3,0,3.8,0.9,0.9,0.3,100
Aaron Jones,GB,5,9,68.9,1.9,2.9,2.6,14.1,7.4,4.6,52.5
Jonathan Taylor,IND,7,12,68.5,12.2,0,12.3,4.7,1.7,1.6,36.2
Ezekiel Elliott,DAL,10,10,68,8.1,1.5,13.2,5.1,5.1,1.8,100
Antonio Gibson,WAS,8,11,65.8,13.3,0,18.4,0.4,0.4,0.2,100
Chris Carson,SEA,6,8,65.8,2,4.6,3.5,6,6,2.1,100
Christian McCaffrey,CAR,13,3,57.2,0.9,0.4,1.3,0.4,0.4,0.2,100
Jerick McKinnon,SF,11,11,56.6,5.2,0.9,6.6,5,5,1.5,100
Jeffery Wilson,SF,11,7,56,4.9,1,6.2,4.8,2,1.5,41.7
James Conner,PIT,8,11,55,5.1,0,7.7,6.5,4.2,2.2,64.6
Giovani Bernard,CIN,9,13,53.6,1.6,3.2,2.2,12.5,11.8,4.5,94.4
Kenyan Drake,ARI,8,10,52,15.8,0,15.3,0.7,0.6,0.2,85.7
Mike Davis,CAR,13,11,51.9,4.3,2.1,6.3,9.7,8.7,3.9,89.7
Darrell Henderson,LAR,9,12,50.7,3.2,1.1,3.1,6.5,3.6,2.1,55.4
David Montgomery,CHI,11,10,49.7,14.8,0,24.4,5.2,2.3,1.7,44.2
Melvin Gordon,DEN,8,11,49.6,0,2.9,0,6.2,2.9,2,46.8
Nyheim Hines,IND,7,11,49.1,5,1.2,5,9.2,6.9,3.1,75
Todd Gurley,ATL,10,11,48.5,19,0,19.8,0,0,0,0
Josh Jacobs,LV,6,10,48,10,0,10.3,1.9,0,0.6,0
David Johnson,HOU,8,9,45.3,4.4,1.3,12.9,9.4,2.6,3.5,27.7
Dion Lewis,NYG,11,11,44.2,5.6,1.9,13.9,7,7,2.6,100
Kerryon Johnson,DET,5,12,43.6,4.3,1.9,6.6,2,1.9,0.7,95
Ronald Jones II,TB,13,13,43.1,6.7,0,13.3,3.2,1.1,1,34.4
Alfred Morris,NYG,11,6,41.4,0.4,2.8,1,2.8,2.8,1,100
Miles Sanders,PHI,9,9,39.9,3.7,0,6.7,1.1,1.1,0.4,100
Zack Moss,BUF,11,10,38.3,12.2,0.9,14,1.7,0.9,0.5,52.9
Adrian Peterson,DET,5,11,38,4.7,0,7.2,0.4,0,0.1,0
D'Andre Swift,DET,5,10,37,2.1,0.8,3.2,8.7,4.4,2.9,50.6
DeeJay Dallas,SEA,6,11,34.8,2.7,1.9,4.7,5.7,5.7,2,100
Myles Gaskin,MIA,11,8,34.5,0.5,0,0.6,5.5,3.6,1.7,65.5
Leonard Fournette,TB,13,9,34.5,3.5,0,7,8.1,7.5,2.6,92.6
Rex Burkhead,NE,6,9,32.9,6.7,1.3,5.3,6.8,4.2,2,61.8
Jordan Howard,MIA,11,6,32.2,6.5,0,7.2,0,0,0,0
Wayne Gallman,NYG,11,12,31.9,7.9,0,19.7,3,2.6,1.1,86.7
Peyton Barber,WAS,8,12,30,4,0,5.5,0,0,0,0
Cam Akers,LAR,9,10,29.5,2.5,0.6,2.5,0.6,0.6,0.2,100
Malcolm Brown,LAR,9,12,29.3,4.6,0,4.5,3.9,1.9,1.2,48.7
Clyde Edwards-Helaire,KC,10,12,29,9.7,0.4,17.5,8,2.5,2.7,31.2
Chris Thompson,JAX,7,8,25,1.1,2.9,2.8,7,4,2.1,57.1
Chase Edmonds,ARI,8,12,24.7,2.7,1.5,2.6,7,5.6,2.5,80
Jalen Richard,LV,6,10,24.7,0,0,0,2,2,0.6,100
Jamaal Williams,GB,5,10,21.5,2,0.6,2.8,3.4,3.4,1.1,100
Austin Ekeler,LAC,10,7,21.5,3.1,0,4.8,7,6.9,2.2,98.6
Derrick Henry,TEN,7,1,20.9,0,0,0,0,0,0,0
Jeremy McNichols,TEN,7,13,20.7,4.5,0,5.8,5.9,1.2,2.1,20.3
Ty Johnson,NYJ,5,10,20,1.4,0,2.2,0,0,0,0
Dalvin Cook,MIN,7,1,18.1,0,0,0,0,0,0,0
Samaje Perine,CIN,9,13,17.5,7.5,0,10.5,3.6,3.6,1.3,100
J.K. Dobbins,BAL,8,10,17,2,0,3,0,0,0,0
Boston Scott,PHI,9,13,16.5,3.2,1.3,5.8,4.6,3.3,1.5,71.7
Tony Pollard,DAL,10,10,16.5,1.3,1.4,2.1,3.8,3.7,1.3,97.4
Kareem Hunt,CLE,9,1,15.2,0,0,0,0,0,0,0
Latavius Murray,NO,6,1,14.8,0,0,0,1,0,0.3,0
Jordan Wilkins,IND,7,12,14.8,3.2,0,3.2,1.7,1.4,0.6,82.4
Joshua Kelley,LAC,10,12,14.5,21.3,0,33.2,3.2,3.2,1,100
Kenyan Drake,ARI,8,2,14.5,4,0,3.9,0,0,0,0
Antonio Gibson,WAS,8,2,14.5,0,0,0,1,0,0.4,0
Gus Edwards,BAL,8,10,14.5,7.1,0,10.8,0,0,0,0
Todd Gurley,ATL,10,1,14.1,0,0,0,0,0,0,0
Benny Snell Jr.,PIT,8,13,14,6.7,0,10.1,3,0.1,1,3.3
Adrian Peterson,DET,5,1,12.7,0,0,0,0,0,0,0
James White,NE,6,2,12.4,0,0,0,1,0,0.3,0
Carlos Hyde,SEA,6,7,12.2,2.2,0,3.8,0,0,0,0
JaMycal Hasty,SF,11,8,12.1,0.4,0,0.5,0,0,0,0
David Montgomery,CHI,11,1,10.3,0,1,0,3,2,1,66.7
Duke Johnson,HOU,8,9,10.1,2.6,0,7.6,6.4,6.4,2.4,100
Sony Michel,NE,6,6,10.1,2.4,0,1.9,0,0,0,0
Damien Harris,NE,6,8,9.9,1.2,0,0.9,1.4,0,0.4,0
Devin Singletary,BUF,11,12,9.5,7.1,0,8.1,3.6,2.3,1.1,63.9
Alvin Kamara,NO,6,2,9.2,1,0,1,1,0,0.3,0
Le'Veon Bell,KC,11,8,9.2,5,0,10,5.9,3.2,2.1,54.2
Devontae Booker,LV,6,12,8.8,6.5,0,6.7,2.3,2.3,0.7,100
Latavius Murray,NO,6,1,8.8,0,0,0,0,0,0,0
JD McKissic,WAS,8,12,8.7,6.2,0,8.6,5.9,3.7,2.2,62.7
James White,NE,6,9,8.4,0.1,0,0.1,7.8,5.9,2.3,75.6
Joe Mixon,CIN,9,1,8.3,0,1,0,2,0,0.7,0
Jamaal Williams,GB,5,1,8.1,0,0,0,0,0,0,0
James Robinson,JAX,7,1,8,0,0,0,0,0,0,0
Ito Smith,ATL,10,1,8,0,0,0,3,0,1,0
Kalen Ballage,NYJ,11,7,7.7,1.4,0,2.8,2.3,1.2,0.8,52.2
Mike Davis,CAR,13,1,7.6,0,0,0,2,0,0.8,0
Chris Carson,SEA,6,1,7.6,0,0,0,0,0,0,0
Adrian Peterson,DET,5,1,7.5,0,0,0,0,0,0,0
Nick Chubb,CLE,9,1,7.4,0,0,0,0,0,0,0
Frank Gore,NYJ,11,11,7.3,9.2,0,18.5,0,0,0,0
Latavius Murray,NO,6,11,7.3,3.8,0,3.8,3.2,2.3,1,71.9
Ke’Shawn Vaughn,TB,13,1,7.2,2,1,4,2,0,0.6,0
Chase Edmonds,ARI,8,1,7.1,2,1,1.9,2,0,0.7,0
Melvin Gordon,DEN,8,1,6.9,0,0,0,0,0,0,0
Raheem Mostert,SF,11,1,6.8,0,0,0,0,0,0,0
Devonta Freeman,NYG,11,4,6.8,2.7,0,6.7,0.1,0.1,0,100
Cam Akers,LAR,9,1,6.7,0,0,0,0,0,0,0
Alexander Mattison,MIN,7,1,6.6,0,0,0,0,0,0,0
Mark Ingram,BAL,8,7,6.5,4.2,0,6.4,5.9,2.9,2.5,49.2
Devin Singletary,BUF,11,1,6.5,2,0,2.3,0,0,0,0
Tony Pollard,DAL,10,2,6.5,2,0,3.3,0,0,0,0
Jerick McKinnon,SF,11,1,6.4,2,0,2.5,0,0,0,0
Aaron Jones,GB,5,1,6.4,4,1,5.6,1,0,0.3,0
Reggie Bonnafon,CAR,13,1,6.3,0,1,0,1,0,0.4,0
CJ Prosise,HOU,8,1,6.2,2,1,5.9,1,0,0.4,0
Mark Ingram,BAL,8,1,6.1,1,0,1.5,0,0,0,0
Gus Edwards,BAL,8,1,6.1,2,0,3,0,0,0,0
Josh Adams,NYJ,11,5,5.6,6.6,0,13.3,0,0,0,0
Ryan Nall,CHI,11,13,5.4,0,0.4,0,2.3,2.3,0.8,100
Royce Freeman,DEN,8,12,5.2,1,0,2.7,3.2,3.2,1,100
LeSean McCoy,TB,13,8,5.2,0,0,0,4.7,3.9,1.5,83
Tevin Coleman,SF,11,5,4.9,2.8,0,3.5,2.9,2.9,0.9,100
Ito Smith,ATL,10,10,4.8,1.4,0,1.5,4.4,3.1,1.5,70.5
Alexander Mattison,MIN,7,10,4.7,2.5,0,2.7,0,0,0,0
Salvon Ahmed,MIA,11,3,4.4,0,0,0,0.3,0.3,0.1,100
D'Ernest Johnson,CLE,9,12,4.2,0,0,0,2.8,2.8,1.1,100
Troymaine Pope,LAC,10,6,3.8,0.6,0,0.9,2.5,2.5,0.8,100
Ke’Shawn Vaughn,TB,13,2,3.2,0.8,0.4,1.6,0.8,0.4,0.3,50
Matt Breida,MIA,11,8,3.1,1.2,0,1.3,0,0,0,0
JJ Taylor,NE,6,3,3,0,0,0,3,0,0.9,0
D'Onta Foreman,TEN,7,6,2.9,0,0.3,0,0.3,0.3,0.1,100
Tyler Ervin,GB,5,8,2.7,0.9,0,1.2,1,1,0.3,100
Patrick Laird,MIA,11,13,2.7,0,0,0,1.4,1.4,0.4,100
Saquon Barkley,NYG,11,2,2.5,0,0,0,1.7,0.9,0.6,52.9
Ameer Abdullah,MIN,7,13,2.4,0.1,0,0.1,1.4,1.4,0.5,100
Phillip Lindsay,DEN,8,10,2.3,4.1,0,11,3.7,0.9,1.2,24.3
Corey Clement,PHI,9,10,2.2,1.6,0,2.9,0,0,0,0
Deandre Washington,KC,10,3,2.1,1.4,0,2.5,1.3,1.3,0.4,100
Clyde Edwards-Helaire,KC,10,1,2.1,0,0,0,1,0,0.3,0
Joe Mixon,CIN,9,5,2.1,4.6,0,6.5,0.1,0,0,0
Carlos Hyde,SEA,6,1,2,0,0,0,0,0,0,0
Tarik Cohen,CHI,11,3,2,4.6,0,7.6,1.9,1.9,0.6,100
Justin Jackson,LAC,10,7,2,1.4,0,2.2,1.3,1.3,0.4,100
JD McKissic,WAS,8,1,1.8,0,0,0,1,0,0.4,0
David Montgomery,CHI,11,1,1.5,0,0,0,1,1,0.3,100
Aaron Jones,GB,5,1,1.5,0,0,0,0,0,0,0
Brian Hill,ATL,10,2,1.3,2,0,2.1,1,0,0.3,0
Dontrell Hilliard,CLE,9,1,1.3,0,0,0,0,0,0,0
Devonta Freeman,NYG,11,1,1.2,0,0,0,0.2,0.2,0.1,100
Frank Gore,NYJ,11,1,1.2,0,0,0,1,0,0.4,0
Rex Burkhead,NE,6,1,1.1,0,0,0,0,0,0,0
Deandre Washington,KC,10,1,1.1,0,0,0,0,0,0,0
Malcolm Brown,LAR,9,1,1,0,0,0,1,0,0.3,0
Darrell Henderson,LAR,9,1,1,0,0,0,0,0,0,0
Jaylen Samuels,PIT,8,11,0.9,1.9,0,2.9,0,0,0,0
Damien Harris,NE,6,1,0.9,0,0,0,0,0,0,0
Travis Homer,SEA,6,9,0.8,1.3,0.1,2.2,0.1,0.1,0,100
Corey Clement,PHI,9,2,0.8,1,0,1.8,0,0,0,0
Mike Davis,CAR,13,1,0.8,0,0,0,1,0,0.4,0
Jordan Wilkins,IND,7,1,0.8,0,0,0,0,0,0,0
Dare Ogunbowale,JAX,7,11,0.8,0,0,0,0.3,0,0.1,0
Matt Breida,MIA,11,1,0.8,0,0,0,0,0,0,0
Raheem Mostert,SF,11,6,0.7,9.5,0,12,0,0,0,0
Darrel Williams,KC,10,11,0.7,0.4,0,0.7,1.1,0,0.4,0
Justice Hill,BAL,8,1,0.6,0,0,0,0,0,0,0
Jonathan Taylor,IND,7,1,0.6,0,0,0,0,0,0,0
Frank Gore,NYJ,11,1,0.6,3,0,6,1,0,0.4,0
Miles Sanders,PHI,9,1,0.6,0,0,0,0,0,0,0
Nyheim Hines,IND,7,1,0.5,3,0,3,0,0,0,0
Rodney Smith,CAR,13,1,0.5,2,0,2.9,0,0,0,0
Jalen Richard,LV,6,1,0.5,0,0,0,2,0,0.6,0
Damien Harris,NE,6,1,0.5,1,0,0.8,0,0,0,0
Justice Hill,BAL,8,6,0.4,0,0,0,0.3,0.3,0.1,100
Dion Lewis,NYG,11,1,0.3,1,0,2.5,0,0,0,0
Reggie Bonnafon,CAR,13,1,0.3,1,0,1.5,0,0,0,0
Jeffery Wilson,SF,11,1,0.3,1,0,1.3,0,0,0,0
Le'Veon Bell,KC,11,1,0.2,0,0,0,1,0,0.4,0
Rodney Smith,CAR,13,3,0.2,0.6,0,0.9,0,0,0,0
Josh Jacobs,LV,6,1,0.2,1,0,1,0,0,0,0
Kerryon Johnson,DET,5,1,0.2,1,0,1.5,0,0,0,0
Theo Riddick,LV,6,1,0.2,1,0,1,0,0,0,0
Brian Hill,ATL,10,11,0.2,2,0,2.1,0,0,0,0
Ezekiel Elliott,DAL,10,1,0.1,2,0,3.3,0,0,0,0
TJ Yeldon,BUF,11,3,0.1,1,0,1.1,0,0,0,0
CJ Prosise,HOU,8,9,0.1,1,0,2.9,0,0,0,0
Dalvin Cook,MIN,7,1,0.1,2,0,2.2,0,0,0,0
Trey Edmunds,PIT,8,4,0,0,0,0,0,0,0,0
Jonathan Williams,DET,5,5,0,0,0,0,0,0,0,0
Nathan Cottrell,JAX,7,5,0,0,0,0,0,0,0,0
LeVante Bellamy,DEN,8,3,0,0,0,0,0,0,0,0
Raymond Calais,LAR,9,3,0,0,0,0,0,0,0,0
Jason Huntley,PHI,9,4,0,0,0,0,0,0,0,0
Theo Riddick,LV,6,1,0,0,0,0,0,0,0,0
Kenjon Barner,TB,13,4,0,0,0,0,0,0,0,0
Anthony McFarland Jr.,PIT,8,9,0,0,0,0,0,0,0,0
Lamical Perine,NYJ,11,3,0,0,0,0,0,0,0,0
Senorise Perry,TEN,7,6,0,0,0,0,0,0,0,0
Jonathan Ward**,ARI,8,1,0,0,0,0,0,0,0,0
Trenton Cannon,CAR,13,11,0,0,0,0,0,0,0,0
Darrynton Evans,TEN,7,2,0,0,0,0,0,0,0,0
Ke'Shawn Vaughn,TB,13,5,0,0,0,0,0,0,0,0
A.J. Dillon,GB,5,8,0,0,0,0,0,0,0,0
Marlon Mack,IND,7,1,0,0,0,0,0,0,0,0
Mike Boone,MIN,7,13,0,0.1,0,0.1,0,0,0,0
Gregory Howell Jr.,HOU,8,11,0,0,0,0,0,0,0,0
Duke Johnson,HOU,8,1,0,0,0,0,1,0,0.4,0
Darius Bradwell,LAC,10,2,0,0,0,0,0,0,0,0
Dwayne Washington,NO,6,9,0,0,0,0,0,0,0,0
Jonathan Ward,ARI,8,11,0,0,0,0,0,0,0,0
Kalen Ballage,NYJ,11,1,0,0,0,0,1,0,0.4,0
Xavier Jones,LAR,9,11,0,0,0,0,0,0,0,0
Dion Lewis,NYG,11,1,0,0,0,0,1,0,0.4,0
Rico Dowdle,DAL,10,11,0,0,0,0,0,0,0,0
Taiwan Jones,BUF,11,10,0,0,0,0,0,0,0,0
Scottie Phillips,HOU,8,5,0,0,0,0,0,0,0,0
Adrian Killins Jr.,PHI,9,1,0,0,0,0,0,0,0,0
Artavis Pierce,CHI,11,3,0,0,0,0,0,0,0,0
Bo Scarbrough,SEA,5,1,0,0,0,0,0,0,0,0
Dontrell Hilliard,CLE,9,4,0,0,0,0,0,0,0,0
Craig Reynolds,JAX,7,1,0,0,0,0,0,0,0,0
Tony Brooks-James,ATL,10,1,0,0,0,0,0,0,0,0
Austin Walter,SF,11,3,0,0,0,0,0,0,0,0
Khari Blasingame,TEN,7,12,0,0,0,0,0,0,0,0
Jeremy Cox,DEN,8,7,0,0,0,0,0,0,0,0
Elijah Holyfield,PHI,9,1,0,0,0,0,0,0,0,0
Dexter Williams,GB,5,2,0,0,0,0,0,0,0,0
Darwin Thompson,KC,10,12,0,0,0,0,0,0,0,0
Devine Ozigbo,JAX,7,5,0,0,0,0,0,0,0,0
Qadree Ollison,ATL,10,3,0,0,0,0,0,0,0,0
Elijhaa Penny,NYG,11,13,0,0.3,0,0.7,0,0,0,0
DJ Foster,ARI,8,7,0,0,0,0,0,0,0,0
Wendell Smallwood,PIT,8,1,0,0,0,0,0,0,0,0
Devontae Booker,LV,6,1,-0.1,0,0,0,1,0,0.3,0
Kareem Hunt,CLE,9,1,-0.1,1,0,1.1,0,0,0,0
Peyton Barber,WAS,8,1,-0.1,1,0,1.4,0,0,0,0
Royce Freeman,DEN,8,1,-0.2,0,0,0,1,0,0.3,0
Ezekiel Elliott,DAL,10,1,-0.2,1,0,1.6,0,0,0,0
Josh Jacobs,LV,6,1,-0.2,1,0,1,1,0,0.3,0
Leonard Fournette,TB,13,1,-0.3,1,0,2,1,0,0.3,0
Nyheim Hines,IND,7,1,-0.3,2,0,2,0,0,0,0
Ty Montgomery,NO,6,4,-0.4,0.9,0,0.9,0,0,0,0
Duke Johnson,HOU,8,1,-0.4,0,0,0,2,0,0.8,0
Jamaal Williams,GB,5,1,-0.4,2,0,2.8,0,0,0,0
Trayveon Williams,CIN,,9,7,-3,1.4,0,2,0,0,0